time_s,temperature_C,pwm,heat_cool
28.68,26.3,50,0
28.8,26.3,50,0
28.92,26.29,50,0
29.05,26.29,50,0
29.17,26.29,50,0
29.3,26.29,50,0
29.42,26.29,50,0
29.54,26.29,50,0
29.67,26.29,50,0
29.79,26.29,50,0
29.92,26.29,50,0
30.04,26.29,50,0
30.16,26.29,50,0
30.29,26.29,50,0
30.41,26.29,50,0
30.53,26.29,50,0
30.66,26.29,50,0
30.78,26.29,50,0
30.9,26.29,50,0
31.03,26.29,50,0
31.15,26.29,50,0
31.28,26.29,50,0
31.4,26.29,50,0
31.52,26.29,50,0
31.65,26.29,50,0
31.77,26.29,50,0
31.89,26.29,50,0
32.02,26.29,50,0
32.14,26.29,50,0
32.27,26.29,50,0
32.39,26.29,50,0
32.51,26.29,50,0
32.64,26.29,50,0
32.76,26.29,50,0
32.88,26.29,50,0
33.01,26.29,50,0
33.13,26.29,50,0
33.26,26.29,50,0
33.38,26.29,50,0
33.5,26.29,50,0
33.63,26.29,50,0
33.75,26.29,50,0
33.87,26.29,50,0
34.0,26.29,50,0
34.12,26.29,50,0
34.24,26.29,50,0
34.37,26.29,50,0
34.49,26.29,50,0
34.62,26.29,50,0
34.74,26.29,50,0
34.86,26.29,50,0
34.99,26.29,50,0
35.11,26.29,50,0
35.24,26.29,50,0
35.36,26.29,50,0
35.48,26.29,50,0
35.61,26.29,50,0
35.73,26.29,50,0
35.85,26.29,50,0
35.98,26.29,50,0
36.1,26.29,50,0
36.22,26.29,50,0
36.35,26.29,50,0
36.47,26.29,50,0
36.6,26.29,50,0
36.72,26.29,50,0
36.84,26.29,50,0
36.97,26.29,50,0
37.09,26.29,50,0
37.21,26.29,50,0
37.34,26.29,50,0
37.46,26.29,50,0
37.59,26.29,50,0
37.71,26.28,50,0
37.83,26.29,50,0
37.96,26.29,50,0
38.08,26.29,50,0
38.2,26.29,50,0
38.33,26.29,50,0
38.45,26.29,50,0
38.58,26.29,50,0
38.7,26.29,50,0
38.82,26.29,50,0
38.95,26.29,50,0
39.07,26.29,50,0
39.19,26.29,50,0
39.32,26.29,50,0
39.44,26.29,50,0
39.56,26.29,50,0
39.69,26.29,50,0
39.81,26.29,50,0
39.94,26.29,50,0
40.06,26.28,50,0
40.18,26.29,50,0
40.31,26.29,50,0
40.43,26.28,50,0
40.55,26.28,50,0
40.68,26.28,50,0
40.8,26.28,50,0
40.93,26.28,50,0
41.05,26.28,50,0
41.17,26.28,50,0
41.29,26.28,50,0
41.42,26.29,50,0
41.54,26.29,50,0
41.67,26.28,50,0
41.79,26.29,50,0
41.91,26.28,50,0
42.04,26.28,50,0
42.16,26.29,50,0
42.29,26.28,50,0
42.41,26.28,50,0
42.53,26.29,50,0
42.66,26.29,50,0
42.78,26.28,50,0
42.9,26.28,50,0
43.03,26.28,50,0
43.15,26.28,50,0
43.28,26.28,50,0
43.4,26.28,50,0
43.52,26.29,50,0
43.65,26.28,50,0
43.77,26.28,50,0
43.89,26.28,50,0
44.02,26.28,50,0
44.14,26.28,50,0
44.26,26.28,50,0
44.39,26.29,50,0
44.51,26.28,50,0
44.64,26.28,50,0
44.76,26.28,50,0
44.88,26.28,50,0
45.01,26.28,50,0
45.13,26.28,50,0
45.25,26.28,50,0
45.38,26.28,50,0
45.5,26.28,50,0
45.63,26.28,50,0
45.75,26.28,50,0
45.87,26.28,50,0
46.0,26.28,50,0
46.12,26.28,50,0
46.24,26.28,50,0
46.37,26.29,50,0
46.49,26.29,50,0
46.62,26.29,50,0
46.74,26.29,50,0
46.86,26.29,50,0
46.99,26.29,50,0
47.11,26.29,50,0
47.23,26.29,50,0
47.36,26.29,50,0
47.48,26.29,50,0
47.6,26.29,50,0
47.73,26.29,50,0
47.85,26.29,50,0
47.97,26.28,50,0
48.1,26.28,50,0
48.22,26.29,50,0
48.35,26.29,50,0
48.47,26.29,50,1
48.59,26.29,50,1
48.72,26.29,50,1
48.84,26.29,50,1
48.97,26.29,50,1
49.09,26.29,50,1
49.21,26.28,50,1
49.34,26.29,50,1
49.46,26.29,50,1
49.58,26.29,50,1
49.71,26.29,50,1
49.83,26.29,50,1
49.96,26.29,50,1
50.08,26.29,50,1
50.2,26.29,50,1
50.33,26.29,50,1
50.45,26.29,50,1
50.57,26.29,50,1
50.7,26.29,50,1
50.82,26.29,50,1
50.95,26.29,50,0
51.07,26.29,50,0
51.19,26.29,50,0
51.32,26.29,50,0
51.44,26.29,50,0
51.56,26.29,50,0
51.69,26.29,50,0
51.81,26.29,50,0
51.94,26.29,50,0
52.06,26.29,50,0
52.18,26.29,50,0
52.31,26.29,50,1
52.43,26.29,50,1
52.55,26.29,50,1
52.68,26.29,50,1
52.8,26.29,50,1
52.93,26.29,50,1
53.05,26.29,50,1
53.17,26.29,50,1
53.3,26.29,50,1
