time_s,temperature_C,pwm,heat_cool
30.87,13.59,100,0
31.01,13.58,100,0
31.14,13.58,100,0
31.27,13.58,100,0
31.41,13.55,100,0
31.54,13.54,100,0
31.68,13.57,100,0
31.81,13.55,100,0
31.94,13.56,100,0
32.08,13.57,100,0
32.21,13.57,100,0
32.35,13.54,100,0
32.48,13.53,100,0
32.61,13.54,100,0
32.75,13.52,100,0
32.88,13.53,100,0
33.01,13.5,100,0
33.15,13.55,100,0
33.28,13.54,100,0
33.42,13.53,100,0
33.55,13.52,100,0
33.68,13.5,100,0
33.82,13.5,100,0
33.95,13.51,100,0
34.09,13.51,100,0
34.22,13.5,100,0
34.35,13.5,100,0
34.49,13.52,100,0
34.62,13.5,100,0
34.75,13.49,100,0
34.89,13.49,100,0
35.02,13.47,100,0
35.15,13.49,100,0
35.29,13.49,100,0
35.42,13.49,100,0
35.56,13.47,100,0
35.69,13.48,100,0
35.83,13.5,100,0
35.96,13.46,100,0
36.09,13.47,100,0
36.23,13.47,100,0
36.36,13.46,100,0
36.49,13.46,100,0
36.63,13.46,100,0
36.76,13.46,100,0
36.9,13.43,100,0
37.03,13.45,100,0
37.16,13.46,100,0
37.3,13.44,100,0
37.43,13.44,100,0
37.56,13.44,100,0
37.7,13.43,100,0
37.83,13.43,100,0
37.97,13.44,100,0
38.1,13.43,100,0
38.24,13.42,100,0
38.37,13.42,100,0
38.5,13.42,100,0
38.64,13.41,100,0
38.77,13.41,100,0
38.9,13.41,100,0
39.04,13.42,100,0
39.17,13.42,100,0
39.31,13.4,100,0
39.44,13.4,100,0
39.57,13.4,100,0
39.71,13.41,100,0
39.84,13.42,100,0
39.97,13.41,100,0
40.11,13.4,100,0
40.24,13.39,100,0
40.38,13.36,100,0
40.51,13.38,100,0
40.64,13.36,100,0
40.78,13.37,100,0
40.91,13.39,100,0
41.05,13.36,100,0
41.18,13.38,100,0
41.31,13.38,100,0
41.45,13.36,100,0
41.58,13.35,100,0
41.71,13.36,100,0
41.85,13.36,100,0
41.98,13.35,100,0
42.12,13.36,100,0
42.25,13.33,100,0
42.38,13.34,100,0
42.52,13.36,100,0
42.65,13.33,100,0
42.79,13.33,100,0
42.92,13.34,100,0
43.05,13.31,100,0
43.19,13.32,100,0
43.32,13.33,100,0
43.46,13.32,100,0
43.59,13.34,100,0
43.72,13.33,100,0
43.86,13.29,100,0
43.99,13.32,100,0
44.12,13.31,100,0
44.26,13.32,100,0
44.39,13.31,100,0
44.53,13.31,100,0
44.66,13.3,100,0
44.79,13.31,100,0
44.93,13.29,100,0
45.06,13.32,100,0
45.2,13.3,100,0
45.33,13.3,100,0
45.46,13.31,100,0
45.6,13.3,100,0
45.73,13.3,100,0
45.86,13.29,100,0
46.0,13.29,100,0
46.13,13.26,100,0
